ID,Relationship,Target_ID
HAO:0000312,BFO:0000050,HAO:0000505
HAO:0000313,is_a,HAO:0000041
HAO:0000313,BFO:0000050,HAO:0000312
HAO:0000314,is_a,HAO:0001551
HAO:0000314,HAO:attached_to,HAO:0000450
HAO:0000314,HAO:attached_to,HAO:0000804
HAO:0000315,is_a,HAO:0000240
HAO:0000316,is_a,HAO:0000146
HAO:0000316,BFO:0000050,HAO:0000397
HAO:0000317,is_a,HAO:0000146
HAO:0000317,BFO:0000050,HAO:0000316
HAO:0000318,is_a,HAO:0001586
HAO:0000318,BFO:0000050,HAO:0000672
HAO:0000319,is_a,HAO:0000718
HAO:0000319,BFO:0000050,HAO:0001044
HAO:0000320,is_a,HAO:0000978
HAO:0000320,BFO:0000050,HAO:0001044
HAO:0000321,is_a,HAO:0000163
HAO:0000322,is_a,HAO:0000936
HAO:0000322,BFO:0000050,HAO:0000016
HAO:0000323,is_a,HAO:0000163
HAO:0000323,BFO:0000050,HAO:0000626
HAO:0000324,is_a,HAO:0000374
HAO:0000324,BFO:0000050,HAO:0000626
HAO:0000326,is_a,HAO:0000912
HAO:0000326,BFO:0000050,HAO:0000566
HAO:0000327,is_a,HAO:0000495
HAO:0000327,BFO:0000050,HAO:0000494
HAO:0000328,is_a,HAO:0000909
HAO:0000328,BFO:0000050,HAO:0000427
HAO:0000329,is_a,HAO:0001424
HAO:0000329,BFO:0000050,HAO:0000017
HAO:0000330,is_a,HAO:0000159
HAO:0000330,BFO:0000050,HAO:0000158
HAO:0000331,is_a,HAO:0000909
HAO:0000331,BFO:0000050,HAO:0000402
HAO:0000332,is_a,HAO:0001790
HAO:0000332,HAO:attached_to,HAO:0000566
HAO:0000332,HAO:attached_to,HAO:0000556
HAO:0000333,is_a,HAO:0001109
HAO:0000333,BFO:0000050,HAO:0000855
HAO:0000333,BFO:0000050,HAO:0000790
HAO:0000334,is_a,HAO:0001697
HAO:0000334,HAO:attached_to,HAO:0000855
HAO:0000334,HAO:attached_to,HAO:0000862
HAO:0000335,is_a,HAO:0001792
HAO:0000335,HAO:attached_to,HAO:0000855
HAO:0000335,HAO:attached_to,HAO:0000558
HAO:0000336,is_a,HAO:0002043
HAO:0000336,HAO:attached_to,HAO:0000386
HAO:0000336,HAO:attached_to,HAO:0000395
HAO:0000337,is_a,HAO:0001091
HAO:0000337,BFO:0000050,HAO:0000351
HAO:0000338,is_a,HAO:0000146
HAO:0000338,BFO:0000050,HAO:0002158
HAO:0000339,is_a,HAO:0000146
HAO:0000339,BFO:0000050,HAO:0002158
HAO:0000340,is_a,HAO:0001586
HAO:0000340,BFO:0000050,HAO:0000909
HAO:0000341,is_a,HAO:0000909
HAO:0000341,BFO:0000050,HAO:0000376
HAO:0000342,is_a,HAO:0000096
HAO:0000342,OBO_REL:0000004,HAO:0000343
HAO:0000343,is_a,HAO:0000041
HAO:0000344,is_a,HAO:0000829
HAO:0000345,is_a,HAO:0000005
HAO:0000346,is_a,HAO:0000005
HAO:0000346,BFO:0000050,HAO:0000238
HAO:0000347,is_a,HAO:0000345
HAO:0000349,is_a,HAO:0000494
HAO:0000349,BFO:0000050,HAO:0000874
HAO:0000350,is_a,HAO:0001017
HAO:0000350,BFO:0000050,HAO:0000349
HAO:0000351,is_a,HAO:0001089
HAO:0000351,BFO:0000050,HAO:0000583
HAO:0000353,is_a,HAO:0001485
HAO:0000353,BFO:0000050,HAO:0000151
HAO:0000353,BFO:0000050,HAO:0000909
HAO:0000354,is_a,HAO:0001586
HAO:0000354,BFO:0000050,HAO:0000574
HAO:0000355,is_a,HAO:0000146
HAO:0000355,BFO:0000050,HAO:0000574
HAO:0000356,is_a,HAO:0001586
HAO:0000357,is_a,HAO:0000146
HAO:0000357,BFO:0000050,HAO:0001044
HAO:0000358,is_a,HAO:0000936
HAO:0000358,BFO:0000050,HAO:0001044
HAO:0000360,is_a,HAO:0001525
HAO:0000360,BFO:0000050,HAO:0000297
HAO:0000361,is_a,HAO:0000005
HAO:0000361,BFO:0000050,HAO:0000809
HAO:0000362,is_a,HAO:0000041
HAO:0000362,BFO:0000050,HAO:0000343
HAO:0000363,is_a,HAO:0000096
HAO:0000363,BFO:0000050,HAO:0000362
HAO:0000364,is_a,HAO:0000142
HAO:0000364,BFO:0000050,HAO:0000705
HAO:0000365,is_a,HAO:0000364
HAO:0000366,is_a,HAO:0000718
HAO:0000366,BFO:0000050,HAO:0000705
HAO:0000367,is_a,HAO:0000146
HAO:0000367,BFO:0000050,HAO:0000309
HAO:0000368,is_a,HAO:0001587
HAO:0000368,BFO:0000050,HAO:0000513
HAO:0000369,is_a,HAO:0000041
HAO:0000369,BFO:0000050,HAO:0000626
HAO:0000370,is_a,HAO:0000146
HAO:0000370,BFO:0000050,HAO:0000056
